,TEI,TEO,TCI,TCO,Heat,FWC,FWE
1604,47.21,40.36,65.1,71.61,40.168,268.2,214.7
1605,60.6,50.31,75.91,85.53,48.32,266.2,216.8
1606,60.64,50.43,85.66,95.32,52.7,264.9,215.4
1607,50.98,46.29,82.95,87.7,40.74,271.5,215.9
1608,45.65,39.33,69.36,75.5,42.912,270.0,216.0
1609,42.87,39.87,61.17,64.24,27.067,270.7,215.1
1610,57.0,50.63,75.83,81.89,34.74,266.4,216.4
1611,51.43,43.43,71.04,78.04,22.78,269.3,216.2
1612,47.82,44.94,75.01,78.12,32.154,270.2,215.5
1613,50.57,41.26,80.78,89.58,50.19,266.6,215.3
1614,53.64,50.27,62.44,65.59,17.65,270.0,216.6
1615,48.44,41.42,72.43,79.39,54.25063,270.8,215.8
1616,55.93,49.86,65.35,70.87,24.83,268.4,216.2
1617,48.07,45.11,75.58,78.65,27.08,269.4,216.7
1618,49.99,40.4,80.09,89.26,57.26,267.6,215.0
1619,43.57,39.87,70.34,74.23,36.757,268.8,214.7
1620,51.84,45.72,85.45,91.51,45.84,269.0,215.3
1621,59.53,51.9,71.12,78.24,36.0,266.2,216.3
1622,56.79,50.63,85.08,90.94,36.27,267.4,214.0
1623,56.26,45.84,70.79,80.54,52.07,267.3,215.9
1624,53.47,50.1,62.52,65.71,19.26,269.9,216.5
1625,51.88,45.68,85.41,91.43,42.34,269.2,214.7
1626,47.33,40.44,65.14,71.69,40.521,267.6,214.2
1627,43.12,40.11,61.21,64.28,26.503,269.2,214.8
1628,59.37,49.86,71.53,80.37,44.41,267.5,216.8
1629,43.4,39.99,71.2,74.72,31.157,269.5,215.5
1630,56.46,49.04,66.99,73.25,17.82,274.5,215.2
1631,46.14,40.4,61.21,66.61,31.57,269.3,215.7
1632,50.81,44.62,76.16,82.09,38.66,268.8,214.9
1633,43.77,40.32,80.09,83.81,38.475,270.0,215.1
1634,50.16,44.08,75.17,81.07,41.235,269.2,214.8
1635,57.0,50.8,75.38,81.27,34.74,267.3,215.9
1636,48.89,45.27,66.33,69.85,26.492,271.9,214.5
1637,55.28,44.78,70.75,80.7,56.42,265.5,214.9
1638,56.34,47.85,75.99,84.34,57.575,267.0,216.3
1639,48.15,44.82,65.02,68.29,23.96,269.5,215.8
1640,60.43,51.86,75.34,83.57,49.82,265.3,215.0
1641,52.98,45.68,80.29,87.33,51.49,273.3,215.3
1642,48.64,45.02,66.33,69.81,24.26,272.6,216.4
1643,43.07,40.11,60.8,63.79,24.93,269.8,214.6
1645,55.64,45.19,70.06,79.84,51.77,267.0,216.0
1646,53.56,50.18,85.12,88.44,24.2,269.8,216.2
1647,56.34,50.06,66.29,72.06,29.43,269.1,215.3
1648,57.86,57.59,60.02,60.76,20.88,270.4,216.1
1649,43.73,40.28,80.21,83.89,36.288,268.8,214.9
1650,56.75,46.05,75.91,86.1,56.28,266.2,217.6
1651,43.52,40.52,68.38,71.53,30.891,271.9,215.1
1652,59.29,50.1,70.79,79.31,41.77,265.0,214.6
1653,52.66,49.94,75.17,78.0,25.08,267.6,215.1
1654,59.04,49.86,70.55,79.06,42.43,266.7,215.6
1655,47.09,40.73,81.15,87.37,43.88,268.7,215.7
1656,55.19,46.42,70.1,78.61,57.2288,267.9,215.4
1657,48.11,44.86,64.69,67.88,24.273,271.3,215.5
1658,55.56,44.86,70.3,80.33,53.61,266.7,215.8
1659,44.55,40.28,78.45,82.87,39.07,269.3,216.2
1660,48.11,45.15,75.62,78.65,25.09,267.2,215.3
1661,59.21,50.1,70.75,79.27,45.2,266.0,214.9
1662,43.48,40.23,70.87,74.27,32.065,270.3,215.2
1663,54.99,46.01,84.1,92.53,46.64,268.1,216.2
1664,60.56,50.39,85.62,95.32,56.16,266.5,216.6
1665,53.92,50.06,64.2,67.8,20.32,270.0,215.8
1666,49.34,44.66,86.68,91.55,43.967,269.2,215.9
1667,59.9,50.39,85.29,94.25,49.58,266.6,215.6
1668,55.85,44.98,75.17,85.49,61.2,267.5,215.5
1669,53.31,50.92,74.68,77.34,28.576,266.1,214.6
1670,53.64,50.27,85.25,88.56,23.68,267.4,215.0
1671,48.11,45.15,75.54,78.65,28.582,269.6,217.1
1672,56.95,50.63,85.33,91.35,36.17,268.4,216.5
1673,52.33,41.99,70.75,80.66,61.83,266.3,214.5
1674,43.44,40.07,71.24,74.8,33.654,269.1,215.9
1675,55.11,45.93,85.25,94.01,53.45,268.0,215.9
1676,60.03,50.59,85.49,94.46,51.59,267.5,216.9
1677,47.78,44.82,75.26,78.45,33.18,270.4,214.9
1678,58.22,50.59,87.87,95.36,51.81,267.0,215.8
1679,56.91,46.05,76.12,86.43,58.66,267.0,216.7
1680,52.0,43.84,67.19,75.21,58.013,268.5,215.4
1681,53.52,50.18,85.08,88.4,26.24,267.6,212.5
1682,53.47,50.06,62.52,65.67,16.44,269.5,215.9
1683,51.1,41.91,80.7,89.34,46.44,266.7,216.3
1684,53.15,50.43,75.3,78.12,25.12,268.4,215.7
1685,61.05,50.1,75.38,85.74,54.61,265.0,216.7
1686,60.64,50.27,75.91,85.65,50.36,265.3,216.1
1687,51.3,45.02,85.74,91.8,38.91,268.2,216.5
1688,50.12,40.32,65.8,74.93,50.69,269.0,215.3
1689,52.0,40.81,70.06,80.58,56.64,265.8,215.3
1690,50.24,40.81,79.72,88.6,50.81,268.1,215.8
1691,49.09,45.52,85.21,88.93,33.23,268.3,215.9
1692,56.83,50.55,85.21,91.18,35.52,267.7,216.1
1693,45.53,39.13,69.24,75.38,39.5,268.3,215.2
1694,52.49,45.72,87.42,94.13,50.37,269.0,215.9
1695,56.79,50.35,75.62,81.72,34.62,266.1,215.2
1696,49.22,45.68,85.45,89.22,36.942,268.9,215.0
1697,53.39,50.96,74.52,77.47,39.084,269.7,217.1
1698,54.87,45.56,84.88,93.72,51.33,268.1,217.0
1699,45.69,39.17,69.61,75.95,45.909,270.9,215.3
1700,53.47,50.1,62.56,65.71,17.87,270.0,216.1
1701,56.95,50.55,75.54,81.68,38.47,266.6,214.6
1702,49.01,45.43,85.21,88.85,30.69,267.6,213.9
1703,46.1,39.66,69.36,75.7,49.1424,270.5,214.3
1704,53.8,50.47,84.84,88.15,25.85,268.8,214.5
1705,48.03,45.11,75.05,78.12,29.739,271.1,215.3
1706,43.73,40.32,80.25,83.93,38.318,271.5,216.4
1707,55.44,51.21,85.78,89.99,32.53,270.2,216.7
1708,58.84,50.22,87.58,95.73,48.97,267.3,214.0
1709,60.64,50.43,85.62,95.32,55.89,266.9,216.2
1710,49.91,40.48,79.72,88.64,54.01,269.0,215.4
1711,48.11,44.82,64.69,67.92,24.269,269.6,214.5
1712,50.77,41.59,80.74,89.5,53.59,267.5,215.3
1713,48.36,45.52,75.09,78.04,27.024,270.4,215.5
1714,51.47,45.48,74.07,79.68,30.12,267.3,215.9
1715,50.65,44.66,74.93,80.7,40.35,269.7,213.7
1716,43.65,40.07,66.25,70.1,39.508,270.0,215.0
1717,45.78,40.03,61.17,66.49,27.62,267.6,214.9
1718,43.57,40.11,71.69,75.42,38.123,268.7,214.3
1719,43.73,40.28,80.25,83.93,35.725,269.5,216.8
1720,50.2,42.04,65.76,73.17,29.38,266.3,217.2
1721,51.3,45.27,85.29,91.14,40.23,267.8,214.3
1722,56.95,49.73,86.97,94.09,48.67,265.8,216.2
1723,43.97,40.36,80.09,83.89,36.278,268.8,214.3
1724,50.03,40.81,80.66,89.54,57.77,267.2,214.5
1725,53.68,50.35,62.44,65.59,20.43,269.9,213.4
1726,55.93,49.82,65.31,70.91,26.92,266.6,214.4
1727,55.97,50.02,65.27,70.71,24.49,267.1,216.2
1728,53.11,50.35,75.26,78.04,21.13,266.0,216.1
1729,51.3,45.23,85.25,91.06,37.24,269.1,215.6
1730,48.68,45.31,85.16,88.64,30.67,268.5,214.9
1731,56.46,47.28,70.55,79.1,44.21,267.1,215.9
1732,46.23,39.91,80.17,86.31,42.42,269.2,215.7
1733,48.36,44.7,66.29,69.85,25.7,269.9,214.6
1734,57.24,50.88,85.33,91.26,30.87,267.2,216.2
1735,58.92,49.77,70.42,78.98,43.34,265.6,216.1
1736,62.2,52.6,85.37,94.17,40.49,266.1,215.2
1737,60.6,50.39,85.62,95.32,57.3,266.8,215.2
1738,50.08,40.11,66.04,75.34,49.9,267.2,215.0
1739,55.19,46.09,85.37,94.13,58.67,269.0,214.9
1740,60.68,50.43,85.62,95.32,53.85,266.3,216.2
1741,56.46,50.39,75.13,80.9,31.37,264.7,216.3
1742,60.11,50.59,85.37,94.42,57.11,268.1,214.0
1743,51.84,41.38,70.87,80.5,56.87,274.5,215.5
1744,43.52,40.28,70.96,74.31,30.527,271.5,216.3
1745,63.67,53.13,75.99,85.94,50.14,264.9,217.6
1746,48.03,45.11,75.54,78.65,31.226,270.1,214.5
1747,59.0,49.94,70.55,79.06,43.05,264.4,216.0
1748,60.43,50.18,85.62,95.32,54.8,266.7,215.9
1749,46.88,40.03,64.94,71.45,38.471,267.6,215.8
1750,61.34,50.1,75.87,86.64,60.52,264.4,216.7
1751,47.62,40.6,66.53,73.41,46.053,267.5,217.3
1752,45.82,39.46,69.48,75.58,41.305,270.0,214.5
1753,58.43,49.49,70.06,78.41,42.1,265.0,215.4
1754,53.47,50.1,62.52,65.67,18.54,269.6,214.4
1755,54.33,47.07,70.22,76.97,41.38,275.4,217.2
1756,54.78,49.61,87.09,92.08,33.645,268.4,214.6
1757,43.65,40.07,79.96,83.81,39.487,269.7,214.7
1758,51.47,44.7,66.21,72.35,32.92,275.0,216.2
1759,46.68,40.6,79.96,85.94,45.63,270.4,214.7
1760,43.69,39.99,66.13,69.85,29.774,269.0,215.9
1761,48.89,45.6,65.76,68.99,23.21,268.2,215.3
1762,51.34,45.39,81.44,87.33,45.96,269.8,214.5
1763,50.89,40.56,67.68,77.3,50.46,267.9,216.1
1764,59.21,49.98,75.3,82.79,8.79,275.4,217.1
1765,52.7,49.94,75.91,78.78,24.89,267.6,216.3
1766,54.37,51.04,84.51,88.03,33.11,269.3,216.7
1767,52.9,43.06,70.71,79.84,55.14,272.4,214.4
1768,48.19,44.9,64.69,67.92,24.273,270.3,215.2
1769,48.97,44.98,66.53,70.46,29.907,270.6,215.4
1770,56.91,50.63,85.33,91.35,38.14,268.5,215.8
1771,59.41,49.86,71.49,80.37,46.28,267.8,216.0
1772,49.5,40.11,79.19,87.95,49.45,268.5,214.5
1773,56.87,50.06,67.72,74.35,46.284,268.3,214.8
1774,60.64,50.43,75.87,85.53,55.08,267.9,216.6
1775,49.01,39.74,63.75,72.43,46.53,266.3,215.1
1776,50.4,42.12,66.17,73.62,28.25,266.5,216.4
1777,45.65,39.33,69.36,75.5,43.381,270.4,215.8
1778,56.26,49.77,85.94,92.41,51.9234,269.9,214.5
1779,53.39,49.94,85.86,89.38,31.08,269.5,213.2
1780,57.94,51.0,82.54,89.05,35.35,268.3,217.0
1781,60.39,51.49,86.15,94.21,37.86,268.6,214.3
1782,48.64,45.43,64.69,67.8,22.27,269.7,214.1
1783,45.69,39.33,69.32,75.46,42.477,268.8,213.8
1784,56.26,46.87,85.33,94.21,52.85,267.8,214.9
1785,55.23,46.58,82.67,90.57,36.12,267.5,215.7
1786,45.41,40.48,68.42,73.25,34.512,268.9,215.7
1787,56.46,47.48,84.84,93.11,43.92,268.6,213.9
1788,51.92,45.72,86.19,92.25,41.85,269.1,217.0
1789,57.08,50.22,67.35,74.03,46.1318,268.5,215.4
1790,51.14,44.29,64.81,71.24,38.865,270.5,215.0
1792,44.18,40.85,79.23,82.83,38.166,270.5,214.2
1793,43.89,40.6,62.73,66.08,30.971,271.3,212.4
1794,43.12,40.32,60.68,63.63,29.026,271.0,214.5
1795,48.68,45.68,74.89,78.04,29.452,269.2,215.4
1796,50.65,41.46,80.78,89.54,54.83,268.8,215.6
1797,55.93,49.86,65.31,70.91,30.68,269.7,214.5
1798,50.28,41.01,80.78,89.58,53.45,268.2,215.4
1799,55.97,45.39,70.38,80.29,51.83,266.2,215.8
1800,43.77,40.32,80.25,83.93,37.092,269.1,213.6
1802,48.32,45.35,75.83,78.82,24.13,269.3,215.9
1803,46.84,39.99,64.94,71.49,42.505,268.4,214.2
1804,48.97,45.39,85.74,89.38,31.28,271.3,216.6
1805,56.38,51.13,75.79,81.23,46.396,267.7,217.0
1806,50.24,44.21,75.75,81.56,36.89,267.9,216.3
1807,56.14,49.94,65.84,71.57,28.72,269.1,217.2
1808,42.91,39.87,61.17,64.28,27.06,270.1,215.3
1809,50.32,44.29,75.22,81.15,42.492,268.0,215.5
1810,60.56,49.9,75.83,86.31,63.55,259.1,214.0
1811,44.26,40.28,66.66,70.87,38.329,264.8,214.4
1812,52.45,44.37,67.03,75.01,58.378,267.5,214.9
1813,54.78,51.62,84.8,88.44,44.998,271.2,214.9
1814,49.99,40.44,80.13,89.3,60.17,268.0,214.2
1815,51.47,40.28,70.67,81.31,60.95,266.0,215.8
1816,56.22,49.86,66.25,72.06,28.88,270.3,216.0
1817,56.14,49.9,65.84,71.61,27.1,265.6,216.1
1818,52.7,49.9,75.17,78.04,23.54,265.8,214.6
1819,50.16,40.28,65.88,75.05,53.16,269.6,213.4
1820,55.85,49.9,65.27,70.83,32.427,269.0,214.4
1821,56.3,45.97,71.12,80.9,56.77,266.2,214.5
1822,55.97,46.87,85.41,94.09,53.63,268.0,215.3
1823,56.95,50.76,85.25,91.22,38.63,268.1,216.0
1824,50.98,44.25,64.45,70.67,33.97,269.7,214.9
1825,56.01,45.56,70.3,80.04,50.16,266.3,215.4
1826,51.26,44.08,65.72,72.43,36.81,267.8,215.4
1827,51.88,40.93,70.63,81.11,62.28,265.8,215.6
1828,48.44,45.52,75.05,78.04,25.78,269.4,215.2
1829,56.26,49.94,66.25,72.06,31.41,271.4,215.7
1830,56.79,50.51,85.21,91.1,32.92,267.4,215.2
1831,51.55,44.74,66.21,72.39,31.77,273.4,216.2
1832,50.08,40.07,66.04,75.34,49.34,268.4,215.6
1833,43.07,40.23,69.07,72.14,32.41,269.8,213.7
1834,56.46,50.39,74.64,80.29,30.32,267.4,214.6
1835,52.2,45.76,81.48,87.82,45.73,268.8,216.3
1836,53.92,50.68,85.21,88.48,25.76,268.3,216.2
1837,48.32,45.43,75.05,78.0,25.69,270.2,215.4
1838,59.66,50.76,70.55,78.82,38.11,264.3,216.4
1839,48.36,44.78,66.25,69.81,28.121,271.5,216.6
1840,50.4,45.6,66.62,71.28,33.191,271.0,216.0
1841,55.6,48.87,65.39,71.12,16.51,274.6,217.1
1842,51.18,41.95,71.24,80.25,59.836,265.8,215.1
1844,43.61,39.95,66.08,69.85,33.871,269.6,214.2
1845,56.67,50.27,76.2,82.5,41.371,265.3,217.1
1846,51.3,40.52,69.61,79.72,55.3,266.1,214.5
1847,56.01,45.15,75.22,85.45,55.69,265.8,215.4
1848,55.93,49.86,65.31,70.87,27.38,269.4,216.1
1849,53.97,50.72,85.25,88.52,26.93,271.5,216.9
1850,49.46,41.79,67.89,75.13,45.51,270.9,215.4
1851,64.49,54.2,86.35,95.52,31.95,265.6,215.4
1852,48.97,45.48,66.25,69.64,24.57,270.1,214.5
1853,42.87,39.87,61.13,64.24,28.866,270.4,214.3
1854,45.74,39.42,69.4,75.54,43.978,270.3,215.1
1855,54.58,53.21,62.52,64.04,16.57,269.9,216.1
1856,49.05,45.52,85.74,89.38,33.15,270.6,214.8
1857,51.1,44.45,66.08,72.06,30.65,275.4,216.1
1858,51.84,45.68,85.37,91.39,42.44,269.0,215.9
1859,50.61,44.57,75.13,81.11,44.378,268.8,216.0
1861,47.21,40.32,65.06,71.61,38.785,268.4,216.6
1862,56.38,50.35,74.85,80.62,34.25,266.2,215.9
1863,52.0,40.73,71.16,81.72,60.64,269.0,215.3
1864,56.34,45.43,75.34,85.74,64.47,267.2,214.4
1865,51.88,45.68,86.19,92.21,42.67,269.7,214.8
1866,60.6,50.39,75.87,85.53,54.01,266.7,216.2
1867,43.12,39.87,71.16,74.52,31.284,270.8,214.0
1868,48.19,45.19,75.58,78.65,25.24,267.8,216.3
1869,55.64,45.23,70.1,79.84,52.23,266.4,215.0
1870,47.37,40.48,65.8,72.35,38.64,267.2,215.6
1871,51.14,41.71,81.15,89.99,53.87,270.2,214.3
1872,51.26,44.37,64.94,71.28,35.89,270.8,213.7
1873,53.97,50.72,85.25,88.52,26.15,269.9,217.0
1874,48.4,45.07,76.24,79.84,37.584,271.3,216.2
1875,56.3,45.31,75.83,86.43,65.03,265.6,215.9
1876,54.33,50.27,64.9,68.78,25.86,270.7,215.3
1877,51.26,44.41,64.98,71.28,33.34,270.3,215.4
1878,65.55,57.1,81.52,88.4,2.59,268.3,216.3
1879,54.37,50.51,85.12,89.13,35.599,268.3,215.6
1880,56.42,51.7,86.07,90.77,35.21,269.2,217.3
1881,55.56,44.86,70.26,80.25,52.57,266.2,214.9
1883,44.83,40.44,77.88,82.42,42.45,271.0,214.2
1884,50.98,44.16,64.73,71.08,37.263,271.2,215.2
1885,54.09,50.59,64.0,67.56,30.012,269.4,215.8
1886,56.46,49.08,74.48,81.44,39.836,266.8,214.6
1887,59.21,50.1,70.75,79.31,45.74,266.3,215.9
1888,52.66,49.94,75.13,77.96,24.67,267.3,215.8
1889,44.51,40.6,72.51,76.52,35.642,270.5,215.5
1890,48.4,45.52,74.89,77.79,24.41,268.7,213.1
1891,47.25,40.4,65.06,71.65,42.366,267.6,215.2
1892,53.06,50.31,75.91,78.73,24.84,268.8,213.7
1893,53.52,50.22,85.12,88.44,26.57,268.9,215.8
1894,59.78,51.62,76.07,83.93,47.2,264.8,215.5
1895,55.07,51.25,71.49,75.54,38.096,266.1,214.0
1896,51.59,45.39,85.78,91.88,44.32,268.5,215.4
1897,52.66,49.9,75.22,78.04,23.65,266.0,213.7
1898,50.69,44.53,76.07,82.05,40.28,268.3,215.8
1899,45.53,39.13,69.16,75.34,42.117,269.5,215.3
1900,56.67,50.27,75.58,81.68,34.77,265.1,215.5
1901,48.11,44.86,64.65,67.88,25.635,269.7,214.5
1902,58.39,49.45,69.97,78.28,39.54,265.0,216.2
1903,55.97,49.9,65.31,70.91,27.26,267.3,216.1
1904,56.71,46.09,75.83,85.98,60.01,267.1,216.8
1905,55.6,44.9,70.3,80.37,55.11,265.8,215.0
1906,48.07,45.15,75.17,78.32,31.705,268.3,215.3
1907,56.95,50.68,85.33,91.3,35.47,267.8,216.4
1908,56.18,45.56,75.01,85.08,58.28,267.6,216.3
1909,53.92,50.06,64.24,67.8,18.73,270.7,216.3
1910,56.01,49.94,65.31,70.91,28.76,269.5,216.5
1911,56.91,50.63,85.33,91.35,35.4,267.1,217.4
1912,56.14,49.9,65.84,71.61,29.48,267.3,215.0
1913,48.11,44.9,64.69,67.92,27.612,270.2,213.6
1914,46.39,40.19,81.03,87.09,46.13,272.1,215.2
1915,50.49,44.86,66.17,71.41,27.47,267.7,216.0
1916,46.27,39.91,80.13,86.35,44.01,268.7,215.6
1917,53.11,50.39,75.38,78.16,23.87,268.5,215.0
1918,51.3,44.45,64.98,71.32,33.95,269.0,215.2
1919,43.69,40.15,80.25,83.98,35.315,269.7,215.9
1920,57.61,50.84,71.04,77.38,31.37,264.5,216.2
1921,53.15,50.39,75.26,78.08,22.89,267.2,216.9
1922,60.97,50.14,75.5,85.7,55.12,264.6,214.4
1923,48.52,44.94,85.45,89.18,33.38,269.0,216.3
1924,54.29,50.92,71.94,75.58,35.328,265.4,215.1
1925,50.16,40.19,66.53,75.91,53.61,267.4,214.8
1926,46.55,40.68,79.88,85.82,49.455,268.4,213.9
1927,55.36,46.38,85.33,94.05,56.1,267.2,216.8
1928,55.6,44.9,70.26,80.29,56.58,267.1,214.3
1929,48.03,44.86,76.36,79.76,34.117,269.5,215.4
1930,48.32,45.31,75.54,78.78,33.777,272.0,216.0
1931,47.09,39.95,66.21,72.96,41.286,269.0,215.0
1932,49.01,45.52,66.21,69.6,23.12,269.7,217.0
1933,43.57,40.03,79.96,83.85,42.6224,269.3,213.8
1934,52.7,49.98,75.13,77.96,24.8,266.4,214.5
1935,55.6,44.9,70.34,80.45,55.36,266.1,216.1
1936,64.04,53.87,85.29,94.01,18.86,266.9,216.2
1937,42.87,39.95,61.05,63.99,24.853,271.1,215.3
1938,53.15,50.43,75.13,77.96,24.55,266.0,214.7
1939,61.91,53.01,86.19,94.05,26.88,268.4,216.4
1940,50.16,44.08,75.17,81.11,41.19,267.0,214.6
1941,58.22,49.9,69.4,77.42,51.834,266.9,214.7
1942,56.22,45.52,75.09,85.2,56.51,266.3,215.6
1943,48.19,40.11,72.39,80.41,61.471,268.7,214.8
1944,46.39,38.88,73.82,81.23,52.053,265.8,215.0
1945,59.41,49.86,71.57,80.41,45.46,267.4,215.0
1946,50.12,44.04,75.17,81.07,41.18,269.8,215.5
1947,55.56,46.46,85.49,94.17,53.74,268.5,215.7
1948,56.26,49.86,75.54,81.6,35.07,266.4,214.7
1949,61.01,50.14,75.54,85.74,50.07,263.6,215.9
1950,43.69,40.19,80.25,83.98,37.037,267.8,213.1
1951,44.14,40.32,69.07,73.0,36.661,271.6,213.7
1952,53.56,50.39,62.69,65.92,27.8,269.4,215.0
1953,56.63,49.69,67.35,74.07,43.11,267.8,216.8
1954,45.74,39.91,61.5,67.15,37.488,267.9,215.7
1955,52.0,40.77,71.2,81.76,60.76,268.5,215.5
1956,61.54,50.22,75.95,86.72,59.5,263.6,214.9
1957,56.3,49.94,75.5,81.6,36.06,265.2,215.5
1958,58.59,51.08,72.47,79.47,29.59,259.1,214.7
1959,49.87,44.0,75.62,81.31,38.96,268.5,215.0
1960,46.39,39.74,71.08,77.3,37.36,271.3,215.5
1961,50.53,44.16,66.0,71.9,36.469,275.4,216.0
1962,55.36,51.08,85.82,90.04,31.22,268.4,214.9
1963,54.74,50.68,84.14,88.23,32.01,267.1,215.0
1964,48.52,45.19,64.98,68.25,24.568,270.8,215.8
1965,47.66,40.64,66.04,72.63,36.96,267.1,214.9
1966,48.44,45.15,64.57,67.88,27.799,271.2,215.5
1968,55.64,44.94,70.3,80.33,53.97,266.1,215.0
1969,61.05,50.18,75.46,85.78,51.11,263.6,218.2
1970,52.12,40.89,70.18,80.74,55.9,266.0,216.1
1971,59.94,50.47,85.29,94.29,53.71,267.9,216.0
1972,50.98,44.33,64.57,71.0,44.362,270.2,215.7
1973,51.63,43.06,75.79,83.32,28.96,270.0,214.2
1974,56.95,50.76,85.21,91.1,35.1,268.2,216.4
1975,50.08,40.52,79.96,89.01,54.76,267.8,214.4
1976,54.25,49.65,65.96,70.3,24.88,269.2,217.0
1977,49.5,41.34,66.29,73.98,44.47,268.7,216.1
1978,56.55,49.53,86.27,93.27,51.799,266.2,215.2
1979,51.26,41.99,80.99,89.71,50.42,269.1,216.0
1980,50.81,40.97,66.78,75.95,50.93,268.8,215.1
1981,49.17,41.95,63.14,69.77,32.16,268.1,215.8
1982,53.47,50.1,62.52,65.71,19.4,269.3,215.7
1983,53.52,50.22,85.12,88.44,27.24,269.2,214.6
1984,56.46,50.14,75.46,81.48,34.5,266.3,216.3
1985,55.56,45.19,70.02,79.72,55.06,268.2,214.6
1986,54.5,50.39,65.43,69.4,25.68,267.2,215.5
1987,49.5,45.8,76.07,79.88,34.652,270.0,213.9
1988,55.56,44.86,70.3,80.41,55.0,266.7,216.9
1989,46.84,39.66,82.22,89.38,55.974,267.9,214.0
1990,60.93,49.94,75.58,86.02,57.25,264.2,215.4
1991,43.97,40.4,80.09,83.85,35.914,269.3,214.9
1992,48.52,45.43,74.6,77.96,34.012,268.8,217.1
1993,60.72,50.1,76.65,86.6,50.45,265.1,215.9
1994,49.46,40.4,78.45,86.92,46.61,267.7,215.2
1995,55.97,49.86,65.35,70.91,24.5,266.6,215.3
1996,57.24,50.76,76.24,82.46,38.89,268.0,216.2
1997,45.86,39.33,69.56,75.87,43.207,269.5,215.2
1998,52.78,46.09,77.59,84.34,54.8371,269.4,216.0
1999,64.53,54.32,85.94,94.91,23.5,265.2,217.2
2000,47.13,40.28,64.94,71.45,39.604,267.6,214.8
2001,47.05,39.87,66.21,73.04,43.715,268.9,214.4
2002,48.89,41.3,73.62,80.99,52.277,269.7,214.8
2003,58.92,50.06,85.98,94.25,47.58,270.1,215.5
2004,49.13,45.43,84.96,88.97,42.774,270.4,214.3
2005,55.6,46.54,85.41,94.13,54.89,267.4,215.9
2006,62.65,51.62,76.03,86.47,53.95,265.1,217.5
2007,56.95,50.76,85.21,91.1,34.37,267.2,216.3
2008,51.3,45.31,85.33,91.22,43.21,268.1,214.4
2010,48.36,45.39,75.83,78.82,24.41,270.3,216.2
2011,44.67,39.91,81.89,86.72,41.294,270.4,214.9
2012,47.91,40.6,68.7,75.58,40.08,268.7,215.5
2013,53.23,50.68,74.52,77.3,28.645,266.6,213.9
2014,46.8,40.81,76.57,82.54,47.367,269.4,214.7
2015,51.59,45.43,85.74,91.8,42.1,267.7,216.8
2016,46.39,39.78,71.08,77.34,40.63,270.8,214.7
2017,46.96,40.11,64.9,71.41,39.532,267.9,215.1
2018,54.01,50.14,64.65,68.38,25.375,270.7,216.1
2019,43.52,39.82,66.17,69.89,30.6,270.4,215.7
2020,48.77,45.23,85.25,88.89,31.76,268.0,214.7
2021,43.57,39.91,80.78,84.59,36.184,271.2,214.6
2022,55.07,45.8,85.0,93.84,55.5,268.4,215.1
2023,45.9,39.78,62.15,68.01,36.176,268.0,216.1
2024,53.88,50.22,76.44,80.29,34.3,265.6,215.3
2025,45.94,39.37,69.32,75.91,53.104,269.1,214.9
2026,47.46,40.48,65.84,72.39,36.41,265.8,213.9
2027,50.65,43.31,75.05,82.05,46.48,272.3,216.3
2028,47.99,45.23,74.72,77.59,26.771,271.3,215.5
2029,54.13,50.92,84.59,87.91,29.31,269.9,216.5
2030,46.31,40.07,80.99,87.05,42.79,271.0,216.3
2031,56.79,47.11,70.71,79.8,48.97,267.2,216.4
2032,56.79,50.63,85.12,90.98,35.75,267.3,214.5
2033,56.79,45.76,75.99,86.47,57.3,265.7,217.0
2034,57.0,50.76,85.37,91.35,37.64,268.3,215.9
2035,47.41,41.46,80.42,86.31,45.66,269.8,214.8
2036,51.18,44.98,85.86,92.04,46.05,267.8,216.4
2037,46.68,40.6,80.25,86.27,44.13,267.8,215.7
2038,49.63,40.48,78.57,87.09,46.65,267.5,214.3
2039,57.0,46.58,75.83,85.78,59.72,267.2,216.1
2040,49.01,45.52,66.25,69.6,22.1,269.3,215.4
2041,48.72,39.5,63.55,72.1,46.66,268.8,214.7
2042,46.64,40.4,80.29,86.51,48.727,268.7,214.6
2043,53.76,49.9,64.53,68.25,24.5,268.3,215.3
2044,56.67,47.73,85.41,93.88,48.33,266.8,216.0
2045,53.97,46.29,74.48,81.85,48.45,269.9,216.1
2046,47.0,40.68,81.11,87.37,47.7,270.7,216.7
2047,55.97,45.15,75.22,85.45,58.84,267.0,215.3
2048,48.32,45.48,74.93,77.83,25.22,270.9,216.5
2049,49.3,45.31,65.39,69.36,29.75,267.9,215.8
2050,50.61,42.4,66.78,74.52,47.14,270.4,215.8
2051,48.4,45.48,75.83,78.82,25.95,271.2,216.7
2052,56.38,47.44,84.71,92.98,41.03,267.9,216.5
2053,46.68,40.6,80.25,86.27,43.33,267.6,216.4
2054,53.64,50.22,62.56,65.8,21.34,270.4,213.4
2055,48.4,45.43,75.83,78.82,25.14,271.2,215.5
2056,48.27,44.74,77.88,81.48,29.469,268.4,216.4
2057,58.84,48.51,75.95,86.06,60.14,262.8,217.5
2058,50.61,44.53,75.13,81.11,44.783,269.2,214.5
2059,52.86,49.94,75.38,78.53,30.731,266.2,215.3
2060,50.12,40.15,66.53,75.91,51.06,266.7,215.9
2061,53.43,50.02,85.25,88.64,26.11,268.7,215.2
