TEI,TEO,TCI,TCO,Heat,FWC,FWE
59.94,50.47,85.29,94.29,55.21,268.1,215.1
45.86,39.62,69.07,75.17,43.249,270.3,216.9
59.49,50.39,70.63,79.1,43.57,267.2,216
45.94,39.25,71.24,77.67,45.005,270.2,213.6
48.36,45.52,75.05,78.04,27.708,268.7,216.1
56.75,50.59,85.12,90.98,34.07,267.1,216.2
51.26,44.08,65.76,72.43,36.81,270.2,216.1
48.11,44.82,64.69,67.88,23.52,272.7,215.8
59.25,50.1,70.79,79.31,40.32,265.3,216.9
60.11,50.63,85.41,94.46,53.22,266.5,216.1
50.89,44.12,64.69,71.12,40.327,269.9,215.5
58.09,56.08,56.5,56.87,1.682E-45,3.868E-45,3.097E-45
53.68,50.39,85.16,88.52,28.13,269.4,216.4
51.63,44.82,66.37,72.55,31.78,272.2,215.1
61.58,51.62,85.66,95.11,54.73,266,215
51.3,45.27,85.29,91.14,40.96,269,214.6
56.26,49.94,75.42,81.48,37.13,265.9,214.8
46.47,39.82,71.16,77.42,37.74,270.2,215.8
56.87,49.12,77.43,84.96,49.14,266.1,215.3
47.05,40.19,64.94,71.41,36.9,267.3,215.5
55.48,44.82,70.26,80.29,52.55,265.8,216.4
44.26,40.89,79.64,83.28,38.799,271.2,214.3
45.86,39.17,71.16,77.59,42,269.4,216
57.36,50.43,70.92,77.3,30.38,265,214.1
52.61,41.54,71.04,81.31,56.17,269.5,215.5
53.11,50.39,75.38,78.16,22.54,266.6,216.4
49.01,39.7,63.83,72.47,46.43,269.2,215.7
56.63,50.59,74.93,80.66,33.11,266.9,216
46.23,40.44,61.25,66.57,27.2,268.2,214.5
51.59,43.06,75.09,82.58,26.13,269.1,215.4
46.06,40.11,80.09,85.98,44.45,268.6,215.1
43.57,39.99,80.78,84.55,37.938,273.7,215.7
56.18,46.09,74.23,83.89,58.9,267.1,216
43.57,39.95,66.04,69.81,35.586,269.9,213.7
48.44,45.48,75.75,78.82,26.51,267.9,216.4
58.67,49.69,70.02,78.37,42.03,266.9,216.2
57.24,50.72,76.4,82.62,37.66,267.1,215.3
50.81,44.62,76.16,82.09,39.98,270.4,215
45.53,39.13,69.2,75.38,43.416,269.6,213.9
48.32,45.48,75.13,78.12,28.975,269.7,214
61.62,51.66,85.7,95.11,53.12,266.7,215.6
46.1,39.82,80.13,86.27,47.088,270.6,213.4
48.23,45.23,75.58,78.65,26.83,270.1,215
55.64,45.27,70.06,79.76,50.9,267.3,216.5
52.04,45.84,86.15,92.21,43.81,270.1,215.8
51.51,40.07,69.97,80.78,60.41,264.9,214.2
56.67,45.6,75.99,86.51,59.91,266.6,216.4
55.11,45.97,85.21,94.01,58.69,268.5,214.6
52.53,45.88,75.09,81.23,32.72,269.4,215.2
56.22,49.86,66.21,72.06,29.41,268.4,215.4
47.41,40.03,66.62,73.74,47.41,268.8,215.4
46.23,39.91,80.09,86.31,46.08,269.1,215.1
50.16,44.08,75.17,81.07,38.73,267.9,216.5
47.86,40.15,74.48,82.05,55.482,269.1,215.2
50.16,41.09,75.13,83.2,30.73,267.8,215.1
48.19,45.11,64.41,67.64,30.877,271.8,216.5
55.4,46.29,85.33,94.05,54.53,266.7,214.5
60.93,52.07,75.34,83.81,43.25,261.2,216.5
58.84,58.91,59.25,59.57,1.682E-45,3.868E-45,3.097E-45
60.48,50.47,85.49,94.99,50.76,264.6,216.6
59.45,49.9,71.57,80.37,41.92,267.5,216.4
59.41,49.82,71.53,80.37,39.65,265.8,216.7
56.42,49.94,76.32,82.54,39.09,267.8,215.8
43.52,40.32,71,74.35,31.813,271.4,216.1
43.77,39.99,65.31,69.36,40.126,269.1,215.9
53.64,50.31,62.44,65.59,19.57,270.5,215.8
43.69,40.03,65.06,68.74,29.702,269.5,215.9
46.88,40.03,64.9,71.41,39.233,268.5,216
49.83,41.95,64.98,72.02,31.31,270.2,214.4
54.62,51.33,84.39,87.95,38.453,271.7,214.2
50.98,44.33,64.61,71,41.317,268.6,215.6
43.44,39.74,81.11,85.16,44.1381,271.7,216.1
51.63,40.19,70.1,80.95,60.84,266.3,216.2
54.13,50.72,63.42,66.94,31.623,270.5,215.6
50.32,44.86,65.1,70.26,30.4,268.6,215.7
45.65,39.33,69.36,75.54,44.268,268.8,215
61.21,52.52,75.34,83.44,39.31,264.5,215.7
45.98,39.78,80.25,86.35,44.65,268.6,215.1
57.57,50.55,71.45,78.08,32.81,263.4,217
56.05,45.23,75.22,85.45,57.12,264.5,214.1
56.75,50.59,85.08,90.9,31.95,268.1,217.7
59.37,50.1,70.63,79.23,42.2,266.2,215.9
56.18,45.43,75.13,85.33,59.61,265.9,214.4
45.37,40.93,69.2,73.66,38.126,272.3,215.2
52.94,50.55,75.5,78.24,32.229,267.6,215
43.2,40.32,60.64,63.67,29.412,270.6,214.7
56.3,45.31,75.83,86.43,69.32,266.6,214.2
56.87,45.97,76.16,86.51,60.62,268.3,216.9
59.37,50.14,70.83,79.35,38.07,264.3,215.7
52.66,44.53,72.96,80.74,54.505,273.6,216.2
51.59,42.61,80.62,88.97,45.85,269.6,215.9
55.85,45.15,70.38,80.45,57.09,266.6,214.5
53.72,46.25,74.89,82.01,47.64,271.8,215.7
43.65,40.11,80.82,84.59,38.482,272.8,216.2
53.72,50.43,62.4,65.47,17.62,269.5,214.8
51.3,44.08,65.76,72.43,35.03,269.7,216.1
59.45,50.51,70.59,78.82,35.84,265.3,216.8
59.21,50.1,70.75,79.31,45.4,265.5,215.5
49.13,45.72,85.08,88.68,34.48,270.1,216.1
57,51.21,73.7,79.43,43.437,268.3,214.4
56.34,50.1,66.25,72.02,30.79,270.8,216.8
49.17,45.8,84.84,88.32,32.6,271.2,213.8
59.37,49.86,71.53,80.33,44.44,267.5,215.6
58.39,49.45,69.97,78.28,41.01,265.8,215.7
50.24,44.82,65.14,70.22,30.46,269.7,214.2
50.03,44.9,65.27,70.18,33.443,270.6,214.5
61.21,52.31,86.19,94.13,30.86,269.2,216.6
54.09,50.59,76.36,80.17,37.282,265.6,216.4
45.53,39.13,69.2,75.38,42.453,269.5,214.9
56.95,50.68,85.33,91.3,36.73,269.4,216.4
43.32,39.95,71.2,74.64,30.144,269.7,213.9
56.34,50.02,85.66,91.88,44.74,269.1,216.6
51.26,44.37,64.98,71.28,31.34,269.8,215.6
50.89,44.16,64.45,70.67,32.58,269.1,215.8
60.35,51.37,80.13,87.74,15.4,268.7,216
47.41,41.83,61.66,66.98,34.75,269.5,214.3
55.93,49.82,65.31,70.87,26.61,268.3,214.5
53.88,50.06,64.61,68.33,26.221,269.5,215.8
56.87,50.27,76.36,82.62,36.45,267.7,216.1
59.41,49.86,71.53,80.37,46.01,267.8,214.9
43.57,39.95,65.59,69.28,31.697,268.4,213.5
53.43,50.92,75.26,78.16,33.867,266.3,215.9
51.3,45.23,85.33,91.18,37.93,267.2,214.8
46.47,39.78,71.16,77.38,37.86,272,214.4
55.97,45.11,75.22,85.49,58.28,266.1,215
42.95,39.78,62.07,65.35,29.933,269.9,214.4
57.16,50.88,85.66,91.47,30.31,268.9,216
56.34,50.27,74.81,80.58,32.9,265.7,215.4
54.7,50.76,84.22,88.27,35.74,268.6,214
46.72,40.73,80.13,86.02,42.97,267.6,214.2
51.71,45.72,84.88,90.85,45.86,268.5,215.5
46.39,39.78,71.16,77.38,38.29,270.6,215.3
45.98,40.23,61.13,66.49,29.23,267.3,214.7
43.81,40.48,79.23,82.79,36.625,269.6,213.1
50.12,40.23,66.49,75.91,54.19,266.7,216.6
52.74,49.86,76.12,79.02,22.46,267.6,216.7
56.95,50.8,85.21,91.14,38.7,268.1,215.6
53.88,50.06,64.61,68.33,25.934,268.6,215.4
56.01,49.9,65.27,70.91,26.62,267.3,217.2
53.06,50.31,75.05,77.87,24.2,268.1,214.5
53.06,50.39,75.38,78.2,25.79,266.9,215.8
60.93,49.98,75.62,86.02,56.76,264.7,216
47.05,40.19,64.9,71.41,41.809,268.8,213.6
48.97,45.39,85.25,88.89,30.43,268.6,215.4
43.57,40.56,68.17,71.32,31.093,272,214.6
43.69,40.77,69.32,72.55,36.2274,269.9,214
55.85,49.94,65.27,70.75,28.5,267.6,215.4
48.32,45.35,75.79,78.78,25.06,271.2,215.7
57.4,47.11,75.71,85.49,56.29,265.8,215.4
57.12,48.75,70.79,77.75,12.98,272.5,216.1
60.31,50.22,85.49,95.15,57.36,265.4,215.4
49.67,45.68,84.26,88.44,39.71,271.5,216.4
54.33,50.39,64.98,68.78,25.999,271.8,217.3
60.56,50.39,85.62,95.32,56.64,265.5,215.3
51.51,44.33,87.58,94.7,52.07,266.1,214.5
59.53,50.96,77.1,84.22,7.59,267.8,216.4
56.26,50.02,66.29,72.06,31.35,270.5,215.9
48.15,44.9,64.69,67.92,25.58,270.3,215.1
48.68,41.42,63.3,69.89,26.97,266.7,216.7
53.15,46.38,78,84.71,49.011,268.8,217.1
49.91,40.07,66.17,75.17,40.35,265.3,214.8
50.24,40.85,79.76,88.68,54.62,267.7,214.7
57,50.63,75.87,81.89,33.8,268.3,217.5
46.23,39.91,80.13,86.31,44.99,268.4,213.9
55.64,44.94,70.3,80.33,56.48,267.8,214.9
46.39,39.74,71.08,77.3,37.33,270.1,214.5
55.93,45.11,75.26,85.57,62.06,266.5,214.9
52.29,44.33,73.41,81.07,55.8,274.2,215.9
53.88,50.68,85.21,88.48,27.27,268.3,215.7
58.84,49.73,73.95,81.44,12.64,275.4,217.1
43.52,40.28,70.96,74.35,33.258,273,215.5
56.05,45.64,75.67,85.53,58.85,269,216.3
61.46,50.55,75.83,86.23,59.05,264.6,215.3
48.48,45.56,75.79,78.73,24.08,270.4,216.4
43.24,40.07,69.4,72.76,32.331,270,216.4
61.17,59.11,59.61,59.9,1.682E-45,3.868E-45,3.097E-45
51.22,44.04,65.76,72.55,42.151,268.6,214.1
43.97,40.44,80.09,83.85,37.669,270.5,215.3
56.01,49.94,65.35,70.91,24.49,264.8,215.1
60.6,50.39,85.66,95.36,55.83,265.4,214.9
60.64,50.27,75.87,85.61,38.28,258.7,217.8
45.86,40.68,77.22,82.46,44.491,270.6,215.3
51.39,44.33,88.73,95.69,46.65,266.5,217.6
53.52,49.86,62.89,66.41,22.5,269,216.8
43.2,40.32,61.29,64.36,31.377,270.3,213.6
46.64,40.68,79.88,85.78,45.71,270.2,215.2
49.34,41.83,63.79,70.71,36.42,269.7,215.4
56.55,50.47,74.72,80.45,33.58,268,215
56.26,49.86,66.25,72.1,29.98,270.7,215.5
60.35,50.27,85.49,95.11,57.05,266.1,215.2
48.56,44.98,85.45,89.18,34.08,269.6,215.6
60.64,50.27,75.95,85.65,50.83,267.1,216.4
59.29,50.1,70.75,79.31,44.76,266.2,214.7
54.05,49.86,64.86,68.83,24.97,270.5,215.6
51.59,40.19,70.1,80.95,67.54,268.5,215.2
52.7,49.94,75.13,77.96,23.74,267.3,214.9
48.81,41.42,62.73,69.36,27.92,268.3,215.1
48.27,45.31,75.58,78.65,26.58,266.7,215
45.53,39.13,69.28,75.42,43.115,270.4,213.4
47.46,40.52,65.88,72.47,39.24,267.3,215.4
50.16,40.28,65.84,75.01,48.61,269.6,216.6
58.43,49.45,69.97,78.32,43.09,265.4,214
49.13,41.71,67.6,74.8,49.427,268.1,214.7
50.73,40.64,67.15,76.44,46.77,268.5,215.7
53.64,50.31,62.48,65.63,20.33,271.2,214.9
55.11,45.93,85.29,94.05,52.8,268.2,216.6
43.44,40.03,71.2,74.72,31.732,269.7,214.6
51.51,45.31,85.78,91.8,43.75,270.1,214.1
50.73,44.7,74.97,80.74,37.55,268.9,214.8
51.55,45.56,74.07,79.76,33.28,266.6,215.2
51.67,40.73,69.81,80,51.29,265.4,215.1
50.89,40.64,67.6,77.18,52.51,268.5,215.9
48.36,45.48,75.01,78,28.434,271.1,213.7
46.39,40.15,80.21,86.35,45.09,267.7,214.1
61.17,59.11,59.61,59.94,1.682E-45,3.868E-45,3.097E-45
50.57,43.8,67.15,73.58,45.554,275.4,215.5
60.48,50.43,85.53,95.07,54.84,265.6,214.9
63.46,53.17,86.27,95.81,47.01,266.2,215.5
53.88,50.06,64.57,68.33,27.361,269.3,216.4
55.69,45.07,70.47,80.25,45.25,266.5,216.4
64.16,53.87,86.35,95.77,44.1,267.6,215.6
43.44,40.11,71.12,74.6,34.116,272.4,214.5
56.3,45.84,70.87,80.62,53.23,269.3,216.2
55.03,51.45,78.04,81.64,27.57,266.4,215.6
46.02,39.87,80.09,86.1,44.54,270,214.5
60.72,50.47,85.78,95.52,56.17,266.2,215.6
51.55,44.74,66.21,72.39,33.77,273.5,214.3
53.35,49.98,62.69,66,24.117,269.1,215.7
59.37,49.86,71.57,80.45,47.17,267.3,215.7
56.01,49.94,65.31,70.95,29.61,267.6,215.5
55.73,46.62,85.49,94.17,55.15,268.7,214.8
51.3,40.48,69.61,79.68,51.38,265.2,214.3
48.07,40.36,82.67,90.2,52.23,266.6,214.1
58.8,50.51,87.95,95.85,46.02,266.2,215.9
61.34,50.43,75.54,85.86,55.44,265.6,216.6
46.06,40.11,80.58,85.98,26.54,269.7,214.4
53.88,50.96,84.51,87.58,29.19,271,216.5
48.44,44.98,65.96,69.36,26.085,269.9,213.8
50.73,44.7,74.97,80.7,34.87,268.6,215.7
56.83,50.55,85.16,91.14,39.58,270.3,214.2
54.37,50.59,83.24,87.21,37.462,270.2,216
56.42,50.06,85.66,91.84,42.54,269.1,215.8
43.57,40.48,68.3,71.45,27.417,270.5,215.6
48.89,45.27,85.25,88.93,30.45,268.2,215.6
55.36,44.86,70.83,80.78,57.42,265.7,214.5
55.56,45.19,70.02,79.72,54.44,268.1,214.9
57.16,51.78,64.32,68.78,8.87,272.5,214.8
46.19,40.03,80.82,86.96,48.88,269,214.1
43.48,40.23,70.79,74.19,33.143,271.5,214.1
48.15,44.86,64.98,68.29,27.549,269.7,214.5
57.9,50.8,70.83,76.52,1.44,271.8,216.4
49.79,40.44,79.43,88.23,51.16,268.4,215.3
55.89,50.1,81.85,87.5,40.85,269.6,215
60.07,50.59,85.37,94.38,54.95,268.1,215.3
49.87,39.95,66.37,75.66,48.31,266.5,216.3
57.4,50.55,70.71,77.14,32.62,263,214.2
51.34,44.62,66.21,72.22,29.15,275.4,216.6
49.22,45.8,84.84,88.32,30.3,270.6,215.2
60.35,49.9,77.02,86.88,55.05,264.8,213.9
51.06,43.63,66.53,72.63,2.165,266.9,217.2
50.16,40.93,80.66,89.54,57.54,267.6,215
45.65,39.33,69.36,75.5,44.54,270.9,215.1
60.64,50.27,75.91,85.65,54.86,266.5,214.2
56.38,47.03,85.33,94.17,51.38,268.2,216.1
56.01,49.77,76.07,82.01,36.22,267.3,214.7
48.07,45.15,75.01,78.04,27.62,269.2,214.5
51.26,45.02,85.78,91.84,39.67,267.1,216
56.95,50.68,85.33,91.3,36.53,269,216.3
46.31,40.11,79.96,86.06,46.15,269.5,214.3
61.21,50.02,75.83,86.51,61.23,265.9,216.5
43.03,40.07,60.8,63.79,24.733,270.3,215.6
53.11,50.39,75.42,78.2,23.13,266.8,215.1
49.38,39.99,79.27,88.07,52.08,268.7,214
55.52,44.98,71,80.95,54.51,266.4,216.2
52.61,44.53,67.19,75.13,57.832,268.7,215.2
56.01,49.98,65.35,71.04,33.209,268.7,215.8
50.65,44.7,74.93,80.7,40.974,268.8,213.7
46.27,39.74,63.34,69.52,36.456,267.6,215.3
59.45,50.31,70.67,79.14,39.09,265.8,217.1
43.73,39.87,65.55,69.6,38.137,268.7,214.4
60.43,50.22,85.62,95.32,54.14,265.9,216.4
49.79,41.67,65.1,72.43,30.68,267,215.1
48.77,45.19,85.25,88.89,31.12,268.7,214.2
44.14,40.28,79.19,83.44,45.825,269,215.4
43.73,40.15,80.5,84.51,46.0758,270,214.8
52.7,45.11,87.58,94.99,50.01,266.1,214.8
58.43,49.45,69.93,78.32,42.48,265.6,215.9
53.47,50.1,62.52,65.71,20.49,271,215
60.68,50.31,75.91,85.65,51.01,266.2,216.4
48.68,45.43,85.33,88.77,33.387,270.9,216.5
52.94,49.86,75.99,79.1,23.341,266.1,216.6
56.5,50.1,75.58,81.68,34.28,265.2,216.1
48.48,45.6,75.01,77.96,25.24,268.2,214.5
66.04,57.02,85,92.53,8.71,267.3,216.6
49.42,45.93,85.62,89.22,31.84,269.4,215.4
48.36,44.9,65.92,69.28,23.11,269.4,216.1
56.95,49.61,72.64,79.47,34.5,265.3,214.9
48.77,45.64,75.87,79.23,33.783,269.1,215.1
48.97,45.35,85.45,89.18,32.29,269,216
56.01,45.43,70.38,80.25,49.46,266,216.2
43.77,40.11,71.45,75.3,36.9201,270.9,215.9
53.88,49.94,64.57,68.25,20.28,269.6,216.6
61.38,52.19,83.16,91.1,20.46,266.4,215.1
49.38,45.56,66.25,70.01,28.87,271.9,216.3
49.91,44.94,87.62,92.66,39.94,266.6,215.3
53.43,50.22,73.37,76.93,36.879,265.2,215.9
49.91,39.99,66.37,75.7,50.44,266.1,215.5
50.77,44.62,76.16,82.13,42.874,270.9,215.4
48.97,45.35,85.74,89.34,28.53,269.5,214.4
43.65,39.99,66.13,69.85,31.475,269.6,215.7
48.77,45.23,85.25,88.89,32.33,268,213.6
53.64,44.41,70.67,79.27,54.03,274.4,215.7
48.81,45.23,85.21,88.85,31.2,268.7,214
60.93,49.98,75.58,85.94,55.48,265.2,216.3
53.92,50.06,64.24,67.8,18.42,270,216.3
43.03,40.11,60.8,63.79,26.903,271.5,214.7
63.75,54.32,79.47,87.37,8.35,266.5,217.2
50.12,44.33,75.46,81.07,37.79,268.1,215.2
49.87,43.88,75.71,81.52,40.38,269,214.9
48.81,45.23,85.25,88.89,31.48,269.9,214.7
45.74,39.87,61.46,67.11,38.913,269.6,214.2
43.93,40.56,70.1,73.62,33.141,270.9,215.6
46.55,40.44,80.09,86.15,46.46,269.4,215.1
43.36,39.87,71.57,75.21,33.357,267.6,213.7
43.97,40.44,80.13,83.89,37.198,270,215.6
43.73,40.4,70.06,73.58,34.813,270.6,214.6
55.32,46.29,85.37,94.05,55.78,267.7,215.3
46.19,39.87,80.17,86.35,44.8,269.4,215
53.88,49.98,64.61,68.29,22.03,269.5,215.7
49.17,45.64,85.37,88.97,29.3,267.5,215.9
60.52,51,85.49,94.46,50.01,266.8,215.5
54.09,45.19,83.2,91.43,45.85,270.5,214.9
48.48,45.27,75.42,78.78,30.955,268.4,214.8
50.85,44.21,64.45,70.75,39.583,270.3,215.6
43.52,40.52,68.34,71.45,28.312,269.7,214.9
47.09,39.91,66.21,73,39.25,267.7,216
54.21,50.1,84.88,89.05,33.8,267.3,215.4
52.41,44.29,80.17,88.11,54.14,267.5,216
61.01,50.02,75.71,86.19,62.29,265.3,214.4
47,40.85,80.95,86.96,43.37,269.1,214.9
47.99,41.26,82.63,89.3,52.898,270.6,214.6
47.37,40.28,66.21,73.08,44.962,266.7,215.2
46.64,40.64,80.33,86.31,46.07,268.5,215.3
60.31,50.22,85.49,95.11,53.74,265.8,217.2
55.97,49.9,65.27,70.87,27.59,267.5,215.9
59.41,49.86,71.53,80.41,46.62,267.3,215.2
57.2,50.84,85.33,91.35,35.72,268.8,216
48.72,39.46,63.55,72.06,43.32,268.4,214.7
49.91,45.84,73.74,77.71,27.81,269.6,216.4
48.6,45.02,66.33,69.81,25.63,271.2,214.8
59.45,51.17,70.14,77.79,36.41,265.6,215.4
55.15,45.93,85.04,93.88,52.13,267.6,217.9
56.95,50.59,75.79,81.81,31.9,265.4,216.8
53.27,51.13,76.16,78.69,31.43,266.4,215.1
46.6,40.56,80.33,86.31,44.84,267.9,214.6
61.34,50.31,75.54,85.98,58.37,265,214.7
50.61,44.66,74.89,80.62,38.48,269.4,215.2
51.75,41.54,69.44,79.18,57.2,265.3,214.9
50.12,43.96,75.38,81.48,47.194,269.2,214.3
52.7,49.82,76.12,79.06,25.09,267.9,214.5
55.11,45.93,85.21,94.01,53.99,267.9,216.6
43.36,39.99,71.2,74.76,34.473,270,215.3
55.93,49.86,65.31,70.87,28.3,268.2,213.9
53.35,49.86,86.07,89.67,31.34,268.8,215.8
51.34,45.23,81.73,87.74,46.1,270.3,214.5
55.89,49.82,65.43,70.95,24.48,266.7,215.1
50.89,40.6,67.68,77.26,51.68,268,215.2
47.62,40.6,65.96,72.55,37.02,267.9,215.6
56.63,50.51,74.81,80.54,30.94,266.3,215
49.95,41.01,65.47,73.9,49.31,268.4,215.5
50.44,41.26,73.7,81.76,29.5,269.7,214.8
49.71,45.23,78.12,82.5,30.68,269.6,216.9
59.45,49.9,71.57,80.45,44.96,266.9,216
47.09,39.95,66.21,73,42.836,269.8,215.8
55.52,46.21,70.3,79.1,50.25,268.1,216.6
48.93,39.66,63.87,72.51,46.16,266.8,214.6
46.47,40.19,80.25,86.39,42.37,268.2,216.2
43.65,40.11,80.78,84.59,40.141,272.2,215.5
51.22,41.99,80.99,89.63,48.38,269.6,216.6
56.01,46.7,85.21,94.09,54.52,267,214.8
48.36,44.9,65.96,69.32,23.17,268.8,215.4
58.76,50.06,85.16,92.82,23.66,266.2,215.8
59.41,49.86,71.53,80.37,43.29,267.3,216.4
45.9,39.21,71.2,77.63,42.446,268.8,214.9
47.5,40.52,65.92,72.51,38.49,267.9,215.4
50.36,45.15,65.14,70.01,26.79,269.5,216.7
55.48,44.78,70.22,80.25,55.76,268,215.6
53.88,50.06,64.2,67.76,20.6,271.3,215.9
53.76,49.9,64.49,68.21,25.992,270.6,214.9
48.32,45.39,75.79,78.78,25.01,269.9,217.5
43.57,39.99,80.74,84.55,38.869,272.6,215.9
53.43,49.94,85.37,88.97,32.679,269.9,214.2
46.68,40.64,80.33,86.27,44.62,270.4,215.5
56.14,49.94,65.84,71.61,27.49,265.5,217
56.05,51.49,70.63,75.38,41.58,266.8,215.5
53.68,51.29,77.55,80.33,32.881,266,215.8
60.48,50.92,85.53,94.54,49.25,266.6,216.1
53.88,50.02,64.61,68.33,25.177,269.7,215.4
51.3,45.27,85.29,91.14,41.97,269.5,214
59.7,50.8,86.07,94.25,39.38,267.7,216
47.91,45.11,75.87,78.82,28.34,269.9,214.9
57.65,49.9,69.56,77.01,45.744,267.4,216.6
56.05,45.72,75.67,85.45,54.67,268.6,218.3
46.19,40.03,80.74,87.05,53.672,268.9,215.8
47.21,40.36,65.1,71.61,40.168,268.2,214.7
60.6,50.31,75.91,85.53,48.32,266.2,216.8
60.64,50.43,85.66,95.32,52.7,264.9,215.4
50.98,46.29,82.95,87.7,40.74,271.5,215.9
45.65,39.33,69.36,75.5,42.912,270,216
42.87,39.87,61.17,64.24,27.067,270.7,215.1
57,50.63,75.83,81.89,34.74,266.4,216.4
51.43,43.43,71.04,78.04,22.78,269.3,216.2
47.82,44.94,75.01,78.12,32.154,270.2,215.5
50.57,41.26,80.78,89.58,50.19,266.6,215.3
53.64,50.27,62.44,65.59,17.65,270,216.6
48.44,41.42,72.43,79.39,54.25063,270.8,215.8
55.93,49.86,65.35,70.87,24.83,268.4,216.2
48.07,45.11,75.58,78.65,27.08,269.4,216.7
49.99,40.4,80.09,89.26,57.26,267.6,215
43.57,39.87,70.34,74.23,36.757,268.8,214.7
51.84,45.72,85.45,91.51,45.84,269,215.3
59.53,51.9,71.12,78.24,36,266.2,216.3
56.79,50.63,85.08,90.94,36.27,267.4,214
56.26,45.84,70.79,80.54,52.07,267.3,215.9
53.47,50.1,62.52,65.71,19.26,269.9,216.5
51.88,45.68,85.41,91.43,42.34,269.2,214.7
47.33,40.44,65.14,71.69,40.521,267.6,214.2
43.12,40.11,61.21,64.28,26.503,269.2,214.8
59.37,49.86,71.53,80.37,44.41,267.5,216.8
43.4,39.99,71.2,74.72,31.157,269.5,215.5
56.46,49.04,66.99,73.25,17.82,274.5,215.2
46.14,40.4,61.21,66.61,31.57,269.3,215.7
50.81,44.62,76.16,82.09,38.66,268.8,214.9
43.77,40.32,80.09,83.81,38.475,270,215.1
50.16,44.08,75.17,81.07,41.235,269.2,214.8
57,50.8,75.38,81.27,34.74,267.3,215.9
48.89,45.27,66.33,69.85,26.492,271.9,214.5
55.28,44.78,70.75,80.7,56.42,265.5,214.9
56.34,47.85,75.99,84.34,57.575,267,216.3
48.15,44.82,65.02,68.29,23.96,269.5,215.8
60.43,51.86,75.34,83.57,49.82,265.3,215
52.98,45.68,80.29,87.33,51.49,273.3,215.3
48.64,45.02,66.33,69.81,24.26,272.6,216.4
43.07,40.11,60.8,63.79,24.93,269.8,214.6
65.59,58.21,76.98,82.79,-2.55,271.5,216.1
55.64,45.19,70.06,79.84,51.77,267,216
53.56,50.18,85.12,88.44,24.2,269.8,216.2
56.34,50.06,66.29,72.06,29.43,269.1,215.3
57.86,57.59,60.02,60.76,20.88,270.4,216.1
43.73,40.28,80.21,83.89,36.288,268.8,214.9
56.75,46.05,75.91,86.1,56.28,266.2,217.6
43.52,40.52,68.38,71.53,30.891,271.9,215.1
59.29,50.1,70.79,79.31,41.77,265,214.6
52.66,49.94,75.17,78,25.08,267.6,215.1
59.04,49.86,70.55,79.06,42.43,266.7,215.6
47.09,40.73,81.15,87.37,43.88,268.7,215.7
55.19,46.42,70.1,78.61,57.2288,267.9,215.4
48.11,44.86,64.69,67.88,24.273,271.3,215.5
55.56,44.86,70.3,80.33,53.61,266.7,215.8
44.55,40.28,78.45,82.87,39.07,269.3,216.2
48.11,45.15,75.62,78.65,25.09,267.2,215.3
59.21,50.1,70.75,79.27,45.2,266,214.9
43.48,40.23,70.87,74.27,32.065,270.3,215.2
54.99,46.01,84.1,92.53,46.64,268.1,216.2
60.56,50.39,85.62,95.32,56.16,266.5,216.6
53.92,50.06,64.2,67.8,20.32,270,215.8
49.34,44.66,86.68,91.55,43.967,269.2,215.9
59.9,50.39,85.29,94.25,49.58,266.6,215.6
55.85,44.98,75.17,85.49,61.2,267.5,215.5
53.31,50.92,74.68,77.34,28.576,266.1,214.6
53.64,50.27,85.25,88.56,23.68,267.4,215
48.11,45.15,75.54,78.65,28.582,269.6,217.1
56.95,50.63,85.33,91.35,36.17,268.4,216.5
52.33,41.99,70.75,80.66,61.83,266.3,214.5
43.44,40.07,71.24,74.8,33.654,269.1,215.9
55.11,45.93,85.25,94.01,53.45,268,215.9
60.03,50.59,85.49,94.46,51.59,267.5,216.9
47.78,44.82,75.26,78.45,33.18,270.4,214.9
58.22,50.59,87.87,95.36,51.81,267,215.8
56.91,46.05,76.12,86.43,58.66,267,216.7
52,43.84,67.19,75.21,58.013,268.5,215.4
53.52,50.18,85.08,88.4,26.24,267.6,212.5
53.47,50.06,62.52,65.67,16.44,269.5,215.9
51.1,41.91,80.7,89.34,46.44,266.7,216.3
53.15,50.43,75.3,78.12,25.12,268.4,215.7
61.05,50.1,75.38,85.74,54.61,265,216.7
60.64,50.27,75.91,85.65,50.36,265.3,216.1
51.3,45.02,85.74,91.8,38.91,268.2,216.5
50.12,40.32,65.8,74.93,50.69,269,215.3
52,40.81,70.06,80.58,56.64,265.8,215.3
50.24,40.81,79.72,88.6,50.81,268.1,215.8
49.09,45.52,85.21,88.93,33.23,268.3,215.9
56.83,50.55,85.21,91.18,35.52,267.7,216.1
45.53,39.13,69.24,75.38,39.5,268.3,215.2
52.49,45.72,87.42,94.13,50.37,269,215.9
56.79,50.35,75.62,81.72,34.62,266.1,215.2
49.22,45.68,85.45,89.22,36.942,268.9,215
53.39,50.96,74.52,77.47,39.084,269.7,217.1
54.87,45.56,84.88,93.72,51.33,268.1,217
45.69,39.17,69.61,75.95,45.909,270.9,215.3
53.47,50.1,62.56,65.71,17.87,270,216.1
56.95,50.55,75.54,81.68,38.47,266.6,214.6
49.01,45.43,85.21,88.85,30.69,267.6,213.9
46.1,39.66,69.36,75.7,49.1424,270.5,214.3
53.8,50.47,84.84,88.15,25.85,268.8,214.5
